old_x old_y new_lat new_lon id
1519449.19529 7445709.20798 40.7595281 -111.9366406 165.0

1519729.8716 7443060.69648 40.7522626 -111.9355810 166.0

1520105.2157 7440190.83719 40.7443909 -111.9341760 167.0

1520548.44366 7437451.77619 40.7368791 -111.9325287 168.0

1521254.30509 7434797.65118 40.7296038 -111.9299357 169.0

1523624.06537 7466165.95333 40.8157283 -111.9219197 170.0

1540405.91684 7448007.77786 40.7660932 -111.8610303 171.0

1514816.40122 7444381.19974 40.7558199 -111.9533384 172.0

1525174.08689 7434734.52736 40.7294814 -111.9157924 174.0

1519295.27175 7446900.22823 40.7627949 -111.9372172 165.0

1519639.56424 7448179.58973 40.7663109 -111.9359969 175.0

1521704.05681 7448166.29365 40.7663017 -111.9285442 176.0

1519954.96407 7446897.51695 40.7627963 -111.9348359 165.0

1520624.82714 7447217.68675 40.7636839 -111.9324235 177.0

1518603.09685 7450083.54328 40.7715225 -111.9397723 25.0

1525671.77422 7433307.9334 40.7255722 -111.9139729 1.0

1525693.1261 7433610.29883 40.7264023 -111.9139010 1.0
